"tract","Name","Fraction_Married_rP_gP_pall"
6037214000,"Central LA, Los Angeles, CA",0.6617
6037214100,"Central LA, Los Angeles, CA",0.6484
6037265410,"Los Angeles, CA",0.6146
6037620301,"Manhattan Beach, CA",0.5925
6037620303,"Manhattan Beach, CA",0.5687
6037261200,"Beverly Glen, Los Angeles, CA",0.5523
6037214902,"Central LA, Los Angeles, CA",0.5515
6037262301,"Los Angeles, CA",0.547
6037192001,"Central LA, Los Angeles, CA",0.5445
6037269500,"Beverlywood, Los Angeles, CA",0.5317
6037214700,"Beverly Grove, Los Angeles, CA",0.5316
6037555202,"El Dorado, Long Beach, CA",0.5294
6037700700,"The Flats, Beverly Hills, CA",0.5282
6037269300,"Cheviot Hills, Los Angeles, CA",0.526
6037571101,"Lakewood, CA",0.5252
6037276601,"Playa del Rey, Los Angeles, CA",0.5241
6037214600,"Central LA, Los Angeles, CA",0.523
6037701202,"Wilshire Montana, Santa Monica, CA",0.522
6037571000,"Lakewood, CA",0.5191
6037500202,"East Whitter, Whittier, CA",0.517
6037650102,"Northwest Torrance, Torrance, CA",0.5164
6037651002,"Southeast Torrance, Torrance, CA",0.5148
6059110118,"Cypress, CA",0.5143
6037265100,"Westwood, Los Angeles, CA",0.512
6037271500,"Mar Vista, Los Angeles, CA",0.5113
6037700600,"Beverly Hills, CA",0.5109
6037269100,"Pico - Robertson, Los Angeles, CA",0.5096
6037262400,"Brentwood, Los Angeles, CA",0.5067
6037570002,"Lakewood, CA",0.5057
6037570001,"Lakewood, CA",0.5053
6037700501,"Central LA, West Hollywood, CA",0.5049
6037265601,"Westwood, Los Angeles, CA",0.5049
6037211000,"Central LA, Los Angeles, CA",0.5046
6037573601,"South of Conant, Long Beach, CA",0.5041
6059110109,"Cypress, CA",0.5028
6037650702,"Southwood, Torrance, CA",0.5017
6037554516,"Cerritos, CA",0.5015
6037651221,"Southwood Riviera, Torrance, CA",0.4979
6037269000,"Cheviot Hills, Los Angeles, CA",0.4964
6037573800,"Carson Park, Long Beach, CA",0.4957
6037620702,"North Redondo, Redondo Beach, CA",0.4957
6037570901,"Lakewood, CA",0.4955
6037620800,"Manhattan Beach, CA",0.4945
6037503602,"La Mirada, CA",0.4942
6037501900,"East Whitter, Whittier, CA",0.4938
6037651201,"Seaside, Torrance, CA",0.493
6037262302,"Brentwood, Los Angeles, CA",0.4925
6037650502,"West Torrance, Torrance, CA",0.4914
6037501501,"Whittier, CA",0.4912
6037620901,"Manhattan Beach, CA",0.491
6037700901,"Central LA, Beverly Hills, CA",0.4903
6037571300,"Lakewood, CA",0.4903
6059110117,"Cypress, CA",0.4902
6037620305,"Manhattan Beach, CA",0.4887
6037194402,"Beverly Grove, Los Angeles, CA",0.4863
6059110104,"Cypress, CA",0.4848
6037267200,"West Los Angeles, Los Angeles, CA",0.4837
6037408402,"La Puente, CA",0.4828
6037701601,"Northeast, Santa Monica, CA",0.4825
6037620400,"Manhattan Beach, CA",0.4823
6037482002,"Monterey Park, CA",0.4821
6037602302,"HollyGlen, Hawthorne, CA",0.4816
6037571200,"Lakewood Village, Long Beach, CA",0.4802
6037216402,"Central LA, Los Angeles, CA",0.4794
6059110111,"Cypress, CA",0.4792
6037501600,"Whittier, CA",0.479
6037650401,"Madrona, Torrance, CA",0.4778
6037620102,"El Segundo, CA",0.4769
6037620904,"Manhattan Beach, CA",0.4767
6037504002,"La Mirada, CA",0.4765
6037650001,"Torrance, CA",0.4746
6037650200,"Northwest Torrance, Torrance, CA",0.4742
6037503902,"La Mirada, CA",0.4728
6037621301,"South Redondo, Redondo Beach, CA",0.4717
6037573700,"Carson Park, Long Beach, CA",0.4716
6037651101,"Torrance, CA",0.4715
6037700102,"Central LA, West Hollywood, CA",0.4708
6037572100,"Wrigley, Long Beach, CA",0.4705
6059110102,"La Palma, CA",0.4688
6037503301,"East Whitter, Whittier, CA",0.4687
6037267100,"West Los Angeles, Los Angeles, CA",0.4685
6037217001,"Pico - Robertson, Los Angeles, CA",0.4684
6037271600,"Mar Vista, Los Angeles, CA",0.4674
6037554518,"Cerritos, CA",0.4671
6037700801,"Beverly Hills, CA",0.4664
6037554522,"Cerritos, CA",0.4662
6037651102,"Torrance Heights Civic, Torrance, CA",0.4643
6037554406,"Bellflower, CA",0.4639
6037554512,"Cerritos, CA",0.4636
6037481714,"Monterey Park, CA",0.4629
6037265420,"Westwood, Los Angeles, CA",0.4627
6037620602,"North Redondo, Redondo Beach, CA",0.4619
6037482102,"Monterey Park, CA",0.461
6037501700,"East Whitter, Whittier, CA",0.4609
6037650603,"Torrance, CA",0.4604
6037550800,"Downey, CA",0.4603
6037701201,"North of Montana, Santa Monica, CA",0.4603
6037265510,"Westwood, Los Angeles, CA",0.4596
6037570800,"Lakewood, CA",0.4594
6037570003,"Lakewood, CA",0.4592
6037191902,"Central LA, Los Angeles, CA",0.4587
6037504001,"La Mirada, CA",0.4579
6037570702,"Lakewood Mutual, Lakewood, CA",0.4577
6037276603,"Playa del Rey, Los Angeles, CA",0.4569
6037530005,"South Montebello, Montebello, CA",0.4555
6037554519,"Cerritos, CA",0.4553
6037571102,"Lakewood, CA",0.4552
6059110116,"La Palma, CA",0.4533
6037274202,"Venice, Marina del Rey, CA",0.4527
6037650004,"Northwest Torrance, Torrance, CA",0.4511
6037621001,"Hermosa Beach, CA",0.451
6037571800,"Bixby Knolls, Long Beach, CA",0.4506
6037276400,"Westchester, Los Angeles, CA",0.4506
6059110304,"Buena Park, CA",0.4504
6037267800,"West Los Angeles, Los Angeles, CA",0.4496
6037271100,"West Los Angeles, Los Angeles, CA",0.4496
6037620001,"El Segundo, CA",0.4485
6059110303,"Buena Park, CA",0.4477
6037554513,"Cerritos, CA",0.4473
6037503502,"East Whitter, Whittier, CA",0.4472
6037274100,"Venice, Marina del Rey, CA",0.4472
6037620002,"El Segundo, CA",0.4471
6037621324,"South Redondo, Redondo Beach, CA",0.4465
6037570902,"Lakewood, CA",0.4462
6037276000,"Westchester, Los Angeles, CA",0.4459
6037554802,"Artesia, CA",0.4459
6037432102,"Temple City, CA",0.4454
6037503601,"La Mirada, CA",0.4445
6037501802,"Whittier, CA",0.4445
6037572001,"Bixby Knolls, Long Beach, CA",0.4442
6037554517,"Cerritos, CA",0.4441
6037276500,"Westchester, Los Angeles, CA",0.4439
6037621102,"Hermosa Beach, CA",0.4438
6037700300,"Central LA, West Hollywood, CA",0.4434
6059110301,"Buena Park, CA",0.4432
6037481800,"Alhambra, CA",0.4426
6037275101,"Culver City, CA",0.4422
6037277000,"Westchester, Los Angeles, CA",0.4404
6037276604,"Playa del Rey, Los Angeles, CA",0.4381
6037621104,"Hermosa Beach, CA",0.4375
6037553000,"Norwalk, CA",0.437
6037262303,"Brentwood, Los Angeles, CA",0.4367
6037550602,"Downey, CA",0.4366
6037271400,"Mar Vista, Los Angeles, CA",0.4361
6037262802,"Pacific Palisades, Santa Monica, CA",0.4349
6037551000,"Downey, CA",0.4339
6037620701,"North Redondo, Redondo Beach, CA",0.4338
6037503201,"East Whitter, Whittier, CA",0.4335
6037481201,"Temple City, CA",0.4334
6037192002,"Central LA, Los Angeles, CA",0.4325
6037603702,"Lawndale, CA",0.4322
6037621004,"Hermosa Beach, CA",0.432
6037291300,"Harbor, Gardena, CA",0.4317
6059110115,"La Palma, CA",0.4313
6037551402,"Downey, CA",0.4312
6037571900,"Bixby Knolls, Long Beach, CA",0.4311
6037503402,"East Whitter, Whittier, CA",0.431
6037621204,"South Redondo, Redondo Beach, CA",0.4298
6037211500,"Central LA, Los Angeles, CA",0.4288
6037620101,"El Segundo, CA",0.4287
6037500300,"Whittier, CA",0.4281
6037267902,"Rancho Park, Los Angeles, CA",0.428
6037620501,"North Redondo, Redondo Beach, CA",0.4278
6037273902,"Venice, Los Angeles, CA",0.4275
6059110302,"Buena Park, CA",0.4266
6037702700,"Park West, Culver City, CA",0.4264
6037277100,"Westchester, Los Angeles, CA",0.4264
6037503901,"La Mirada, CA",0.4258
6037621400,"South Redondo, Redondo Beach, CA",0.4258
6037650602,"Torrance, CA",0.4257
6037265305,"Westwood, Los Angeles, CA",0.4243
6037650604,"Delthorne, Torrance, CA",0.4236
6037265602,"Westwood, Los Angeles, CA",0.4234
6037701000,"Beverly Hills, CA",0.4231
6037550400,"Downey, CA",0.4225
6037650501,"West Torrance, Torrance, CA",0.4223
6037278102,"Playa del Rey, Los Angeles, CA",0.4213
6037554101,"Bellflower, CA",0.4206
6037650701,"Southwood, Torrance, CA",0.42
6037620521,"North Redondo, Redondo Beach, CA",0.4199
6037481713,"Monterey Park, CA",0.4188
6037271702,"Palms, Los Angeles, CA",0.4186
6037700902,"Beverly Hills, CA",0.4182
6059110201,"Buena Park, CA",0.4182
6037554900,"Artesia, CA",0.4179
6037554514,"Cerritos, CA",0.4178
6037554600,"Norwalk, CA",0.4178
6037700802,"Beverly Hills, CA",0.4178
6037214400,"Central LA, Los Angeles, CA",0.4168
6037552602,"Norwalk, CA",0.4168
6037482600,"Garvey, Monterey Park, CA",0.4166
6037192300,"Central LA, Los Angeles, CA",0.4164
6037264103,"Brentwood, Los Angeles, CA",0.4155
6037191620,"Central LA, Los Angeles, CA",0.4147
6037554521,"Cerritos, CA",0.4147
6037265520,"Westwood, Los Angeles, CA",0.4145
6037267901,"Century City, Los Angeles, CA",0.4144
6037554511,"Cerritos, CA",0.4143
6037481402,"San Gabriel, CA",0.414
6037503501,"East Whitter, Whittier, CA",0.4137
6037571400,"Lakewood Mutual, Lakewood, CA",0.4134
6037265700,"Westwood, Los Angeles, CA",0.4121
6037650901,"Old Town Torrance, Torrance, CA",0.4116
6037482202,"Garvey, Monterey Park, CA",0.4114
6059110202,"Southwest Anaheim, Buena Park, CA",0.4112
6037543503,"Torrance, CA",0.4111
6037503802,"La Mirada, CA",0.4107
6037530003,"South Montebello, Montebello, CA",0.4105
6037432500,"El Monte City, El Monte, CA",0.4104
6037702600,"Culver City, CA",0.4102
6037553100,"Bellflower, CA",0.4095
6037552900,"Norwalk, CA",0.4087
6037554001,"Bellflower, CA",0.4079
6037481500,"Alhambra, CA",0.4079
6037264302,"Brentwood, Los Angeles, CA",0.4078
6037408302,"Whittier, CA",0.4069
6037481401,"San Gabriel, CA",0.4066
6037503302,"East Whitter, Whittier, CA",0.4062
6037650300,"Northwest Torrance, Torrance, CA",0.406
6037502005,"East Whitter, Whittier, CA",0.4059
6037501300,"Whittier, CA",0.4054
6037434004,"El Monte, CA",0.4054
6037481712,"Garvey, Monterey Park, CA",0.4053
6037433601,"Garvey, Rosemead, CA",0.405
6037211703,"Central LA, Los Angeles, CA",0.4045
6037214901,"Beverly Grove, West Hollywood, CA",0.4042
6037552002,"Norwalk, CA",0.4041
6037214800,"Beverly Grove, Los Angeles, CA",0.4039
6037620522,"North Redondo, Redondo Beach, CA",0.4036
6037267300,"West Los Angeles, Los Angeles, CA",0.4035
6037650101,"Northeast Torrance, Torrance, CA",0.4035
6037481604,"Alhambra, CA",0.4034
6037550700,"Downey, CA",0.403
6037701902,"Downtown, Santa Monica, CA",0.4023
6037207102,"Central LA, Los Angeles, CA",0.4019
6037650605,"Delthorne, Torrance, CA",0.4018
6037554515,"Cerritos, CA",0.4015
6037481606,"Alhambra, CA",0.4014
6037408303,"Whittier, CA",0.4012
6037194500,"Central LA, Los Angeles, CA",0.4008
6037216401,"Central LA, Los Angeles, CA",0.4005
6037432201,"Rosemead, CA",0.3997
6037621002,"Hermosa Beach, CA",0.399
6037554103,"Bellflower, CA",0.3987
6037207101,"Central LA, Los Angeles, CA",0.3984
6037481603,"Alhambra, CA",0.3974
6037293201,"Harbor, Torrance, CA",0.3971
6059110110,"Cypress, CA",0.397
6037650003,"Northwest Torrance, Torrance, CA",0.3969
6037482702,"South Montebello, Monterey Park, CA",0.3965
6037980010,"Echo Park, Los Angeles, CA",0.3963
6037571504,"Bixby Knolls, Long Beach, CA",0.3958
6037702501,"Carlson Park, Culver City, CA",0.3951
6037550500,"Downey, CA",0.3942
6037701501,"Wilshire Montana, Santa Monica, CA",0.3941
6037650800,"Park Plaza, Torrance, CA",0.3941
6037650902,"Old Town Torrance, Torrance, CA",0.3936
6037570701,"Lakewood Mutual, Lakewood, CA",0.3932
6037551502,"Downey, CA",0.393
6037481300,"Rosemead, CA",0.393
6037620601,"North Redondo, Redondo Beach, CA",0.3927
6037702802,"McLaughlin, Los Angeles, CA",0.3926
6037191820,"Central LA, Los Angeles, CA",0.3925
6037551501,"Downey, CA",0.3923
6037700400,"Central LA, West Hollywood, CA",0.3922
6037555001,"Lakewood, CA",0.3921
6037621201,"South Redondo, Redondo Beach, CA",0.3915
6037208904,"Central LA, Los Angeles, CA",0.3914
6037553300,"Bellflower, CA",0.3912
6037550902,"Downey, CA",0.391
6037271300,"Mar Vista, Los Angeles, CA",0.3906
6037551800,"Downey, CA",0.3904
6037481605,"Alhambra, CA",0.3901
6037267402,"West Los Angeles, Los Angeles, CA",0.39
6037269903,"Palms, Los Angeles, CA",0.3899
6037482101,"Monterey Park, CA",0.3897
6037502004,"East Whitter, Whittier, CA",0.3893
6037543602,"Torrance, CA",0.3893
6037550202,"Norwalk, CA",0.3893
6037621326,"South Redondo, Redondo Beach, CA",0.3892
6037481901,"Alhambra, CA",0.3891
6037552302,"Norwalk, CA",0.3891
6037272301,"Mar Vista, Los Angeles, CA",0.3884
6037267700,"Sawtelle, Los Angeles, CA",0.388
6037432202,"Rosemead, CA",0.3876
6037265202,"Westwood, Los Angeles, CA",0.3874
6037533503,"Huntington Park, CA",0.3873
6037482001,"Monterey Park, CA",0.3873
6037214501,"Central LA, Los Angeles, CA",0.3873
6037530004,"South Montebello, Montebello, CA",0.3872
6037550601,"Downey, CA",0.387
6037267403,"West Los Angeles, Los Angeles, CA",0.3868
6037501002,"Whittier, CA",0.3868
6037265201,"Westwood, Los Angeles, CA",0.3867
6037502500,"El Rancho, Pico Rivera, CA",0.3865
6037571502,"Bixby North, Long Beach, CA",0.3864
6037551202,"Downey, CA",0.3864
6059110500,"Buena Park, CA",0.3863
6037195903,"Silver Lake, Los Angeles, CA",0.3858
6037554203,"Bellflower, CA",0.3853
6037212701,"Central LA, Los Angeles, CA",0.3852
6037207501,"Downtown, Los Angeles, CA",0.3852
6059086901,"Southwest Anaheim, Anaheim, CA",0.3851
6037554405,"Bellflower, CA",0.3849
6037700200,"Central LA, West Hollywood, CA",0.3847
6037272100,"Mar Vista, Los Angeles, CA",0.3843
6037265303,"Westwood, Los Angeles, CA",0.3842
6037503104,"Whittier, CA",0.3841
6037275400,"Los Angeles, CA",0.3841
6037701402,"Wilshire Montana, Santa Monica, CA",0.3838
6037603500,"Gardena, CA",0.3838
6059110606,"Buena Park, CA",0.3832
6037271802,"Palms, Los Angeles, CA",0.3828
6037480903,"Alhambra, CA",0.3828
6037553200,"Bellflower, CA",0.3825
6037197700,"Echo Park, Los Angeles, CA",0.382
6037555104,"Lakewood, CA",0.3819
6037554700,"Norwalk, CA",0.3819
6037502801,"Santa Fe Springs, CA",0.3817
6037502901,"East Whitter, Whittier, CA",0.3815
6037433307,"El Monte, CA",0.3815
6037481001,"Alhambra, CA",0.3807
6037536102,"South Gate, CA",0.3797
6037278001,"Westchester, Los Angeles, CA",0.3794
6037543501,"Carson, CA",0.3794
6037264000,"Brentwood, Los Angeles, CA",0.379
6037432902,"Rosemead, CA",0.3785
6037503103,"Whittier, CA",0.3782
6037273100,"Venice, Los Angeles, CA",0.3782
6037554201,"Bellflower, CA",0.378
6037602301,"Hawthorne, CA",0.3777
6037264301,"Brentwood, Los Angeles, CA",0.3765
6037211701,"Central LA, Los Angeles, CA",0.3758
6037269907,"Palms, Los Angeles, CA",0.3757
6037543701,"Carson, CA",0.3755
6037482402,"Garvey, Rosemead, CA",0.3754
6037271902,"Mar Vista, Los Angeles, CA",0.3754
6037552700,"Norwalk, CA",0.3753
6037433401,"South El Monte, CA",0.375
6037482503,"Garvey, Rosemead, CA",0.3748
6037551700,"Downey, CA",0.3746
6037432602,"El Monte City, El Monte, CA",0.3745
6037262100,"Bel Air, Los Angeles, CA",0.3743
6037195500,"Silver Lake, Los Angeles, CA",0.3743
6037551201,"Downey, CA",0.3742
6037550000,"Norwalk, CA",0.3742
6037552400,"Norwalk, CA",0.374
6037543502,"Torrance, CA",0.3736
6037702202,"Sunset Park, Santa Monica, CA",0.3731
6037212102,"Central LA, Los Angeles, CA",0.373
6037701602,"Mid-City, Santa Monica, CA",0.3726
6037503106,"Whittier, CA",0.3726
6037501503,"Whittier, CA",0.3725
6037271901,"Mar Vista, Los Angeles, CA",0.3725
6037482304,"Garvey, Rosemead, CA",0.3724
6037550901,"Downey, CA",0.3709
6037275311,"Los Angeles, CA",0.3704
6037502100,"Whittier, CA",0.3701
6037481711,"Monterey Park, CA",0.3698
6037482303,"Garvey, Rosemead, CA",0.3695
6037552100,"Norwalk, CA",0.3692
6037433402,"El Monte, CA",0.3692
6037500403,"El Rancho, Pico Rivera, CA",0.369
6037433306,"El Monte, CA",0.3689
6037554801,"Artesia, CA",0.3684
6037603600,"Gardena, CA",0.3682
6037480901,"Alhambra, CA",0.3681
6037603802,"Lawndale, CA",0.368
6037209300,"Central LA, Los Angeles, CA",0.3676
6037603703,"Hawthorne, CA",0.3676
6037553400,"Downey, CA",0.3669
6037212420,"Central LA, Los Angeles, CA",0.3665
6037408301,"Bassett, Avocado Heights, CA",0.3661
6037702400,"Lucerne - Higuera, Culver City, CA",0.366
6037701302,"Wilshire Montana, Santa Monica, CA",0.3656
6037702201,"Sunset Park, Santa Monica, CA",0.3647
6037211420,"Central LA, Los Angeles, CA",0.3646
6037262200,"Bel Air, Los Angeles, CA",0.3643
6037550300,"Norwalk, CA",0.3642
6037550100,"Norwalk, CA",0.3641
6037543601,"Carson, CA",0.3639
6037213401,"Central LA, Los Angeles, CA",0.3635
6037550201,"Norwalk, CA",0.3634
6037275302,"Marina del Rey, CA",0.3634
6037211410,"Central LA, Los Angeles, CA",0.3632
6037543801,"Carson, CA",0.3631
6037552800,"Norwalk, CA",0.3626
6037702901,"Marina del Rey, CA",0.3626
6037480803,"Alhambra, CA",0.3621
6037500700,"El Rancho, Pico Rivera, CA",0.3617
6037432901,"Rosemead, CA",0.3617
6037701100,"West Los Angeles, Los Angeles, CA",0.3616
6037432401,"El Monte City, El Monte, CA",0.3613
6037543802,"Carson, CA",0.3612
6059110603,"Buena Park, CA",0.3609
6037482521,"South Montebello, Rosemead, CA",0.3608
6037433200,"El Monte City, El Monte, CA",0.3608
6037502200,"Whittier, CA",0.3607
6037192510,"Central LA, Los Angeles, CA",0.3606
6037213100,"Central LA, Los Angeles, CA",0.3605
6037217002,"Central LA, Los Angeles, CA",0.3603
6037433602,"Garvey, Rosemead, CA",0.36
6037211121,"Central LA, Los Angeles, CA",0.36
6037530301,"East Los Angeles, CA",0.3599
6037702801,"Clarkdale, Culver City, CA",0.3597
6037224700,"South Los Angeles, Los Angeles, CA",0.3596
6037552301,"Norwalk, CA",0.3595
6037192620,"Central LA, Los Angeles, CA",0.3593
6037702300,"Sunset Park, Santa Monica, CA",0.359
6037551401,"Downey, CA",0.3589
6037271801,"Palms, Los Angeles, CA",0.3583
6037207103,"Central LA, Los Angeles, CA",0.3582
6037502401,"El Rancho, Pico Rivera, CA",0.3581
6037432300,"El Monte City, El Monte, CA",0.3578
6037535902,"South Gate, CA",0.3574
6037432700,"El Monte City, El Monte, CA",0.3572
6037267600,"Sawtelle, Los Angeles, CA",0.3571
