"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
6037262301,"Los Angeles, CA",52689
6037265100,"Westwood, Los Angeles, CA",51329
6037262302,"Brentwood, Los Angeles, CA",49248
6037261200,"Beverly Glen, Los Angeles, CA",48746
6037265420,"Westwood, Los Angeles, CA",48532
6037700600,"Beverly Hills, CA",46452
6037701201,"North of Montana, Santa Monica, CA",45524
6037620901,"Manhattan Beach, CA",44666
6037620305,"Manhattan Beach, CA",44013
6037262802,"Pacific Palisades, Santa Monica, CA",43874
6037620301,"Manhattan Beach, CA",43865
6037700700,"The Flats, Beverly Hills, CA",43385
6037261102,"Beverly Hills, CA",43219
6037262303,"Brentwood, Los Angeles, CA",42833
6037262400,"Brentwood, Los Angeles, CA",42663
6037262100,"Bel Air, Los Angeles, CA",42558
6037265601,"Westwood, Los Angeles, CA",42478
6037264000,"Brentwood, Los Angeles, CA",42392
6037269000,"Cheviot Hills, Los Angeles, CA",41931
6037269300,"Cheviot Hills, Los Angeles, CA",41902
6037262200,"Bel Air, Los Angeles, CA",41588
6037211000,"Central LA, Los Angeles, CA",41509
6037701000,"Beverly Hills, CA",41447
6037265201,"Westwood, Los Angeles, CA",41265
6037265700,"Westwood, Los Angeles, CA",41255
6037271500,"Mar Vista, Los Angeles, CA",41208
6037265202,"Westwood, Los Angeles, CA",40870
6037620800,"Manhattan Beach, CA",40868
6037276601,"Playa del Rey, Los Angeles, CA",40823
6037530005,"South Montebello, Montebello, CA",40727
6037701302,"Wilshire Montana, Santa Monica, CA",40531
6037554518,"Cerritos, CA",40523
6037700801,"Beverly Hills, CA",40481
6037480500,"South Pasadena, CA",40312
6037701601,"Northeast, Santa Monica, CA",40170
6037554517,"Cerritos, CA",40162
6037573902,"El Dorado, Long Beach, CA",40087
6037482001,"Monterey Park, CA",40078
6037554511,"Cerritos, CA",39784
6037480702,"South Pasadena, CA",39777
6059110118,"Cypress, CA",39737
6037554512,"Cerritos, CA",39735
6037554519,"Cerritos, CA",39696
6037264302,"Brentwood, Los Angeles, CA",39637
6037701202,"Wilshire Montana, Santa Monica, CA",39598
6037271600,"Mar Vista, Los Angeles, CA",39587
6037265510,"Westwood, Los Angeles, CA",39399
6037264301,"Brentwood, Los Angeles, CA",39382
6037269500,"Beverlywood, Los Angeles, CA",39328
6037500202,"East Whitter, Whittier, CA",39293
6037267100,"West Los Angeles, Los Angeles, CA",39277
6037554522,"Cerritos, CA",39232
6037650603,"Torrance, CA",39209
6037276400,"Westchester, Los Angeles, CA",39199
6037554516,"Cerritos, CA",39032
6037267902,"Rancho Park, Los Angeles, CA",38900
6037194300,"Central LA, Los Angeles, CA",38894
6037620400,"Manhattan Beach, CA",38868
6037482600,"Garvey, Monterey Park, CA",38862
6037265602,"Westwood, Los Angeles, CA",38837
6037482002,"Monterey Park, CA",38786
6037700901,"Central LA, Beverly Hills, CA",38776
6037481606,"Alhambra, CA",38574
6059110116,"La Palma, CA",38485
6037620303,"Manhattan Beach, CA",38391
6037700802,"Beverly Hills, CA",38379
6037267200,"West Los Angeles, Los Angeles, CA",38271
6037481800,"Alhambra, CA",38249
6037276000,"Westchester, Los Angeles, CA",38162
6037214901,"Beverly Grove, West Hollywood, CA",37997
6037264103,"Brentwood, Los Angeles, CA",37911
6037481714,"Monterey Park, CA",37903
6037277000,"Westchester, Los Angeles, CA",37899
6037571800,"Bixby Knolls, Long Beach, CA",37798
6037216300,"Central LA, Los Angeles, CA",37795
6037651221,"Southwood Riviera, Torrance, CA",37673
6037482502,"Garvey, Rosemead, CA",37540
6037700902,"Beverly Hills, CA",37425
6037621004,"Hermosa Beach, CA",37390
6037214502,"Central LA, Los Angeles, CA",37351
6037276604,"Playa del Rey, Los Angeles, CA",37242
6037650502,"West Torrance, Torrance, CA",37195
6037265410,"Los Angeles, CA",37088
6037207101,"Central LA, Los Angeles, CA",37088
6037278102,"Playa del Rey, Los Angeles, CA",37054
6037432902,"Rosemead, CA",37036
6037554515,"Cerritos, CA",36938
6037501700,"East Whitter, Whittier, CA",36921
6037481500,"Alhambra, CA",36880
6037480703,"South Pasadena, CA",36876
6059110102,"La Palma, CA",36845
6037620904,"Manhattan Beach, CA",36705
6037651304,"Riviera, Redondo Beach, CA",36615
6037501600,"Whittier, CA",36614
6037702300,"Sunset Park, Santa Monica, CA",36587
6037267901,"Century City, Los Angeles, CA",36559
6037574400,"Plaza, Long Beach, CA",36496
6037650702,"Southwood, Torrance, CA",36485
6037554514,"Cerritos, CA",36383
6037481603,"Alhambra, CA",36376
6037214100,"Central LA, Los Angeles, CA",36348
6037271400,"Mar Vista, Los Angeles, CA",36283
6037651002,"Southeast Torrance, Torrance, CA",36279
6037980010,"Echo Park, Los Angeles, CA",36269
6037291300,"Harbor, Gardena, CA",36211
6037554521,"Cerritos, CA",36211
6037651302,"Riviera, Torrance, CA",36199
6037481300,"Rosemead, CA",36182
6037482102,"Monterey Park, CA",36179
6037651101,"Torrance, CA",36174
6037432000,"Temple City, CA",36161
6037481711,"Monterey Park, CA",36149
6037293301,"Harbor City, Los Angeles, CA",36094
6037211701,"Central LA, Los Angeles, CA",36091
6037276500,"Westchester, Los Angeles, CA",36078
6037211500,"Central LA, Los Angeles, CA",36068
6037214700,"Beverly Grove, Los Angeles, CA",36014
6037651001,"Southeast Torrance, Torrance, CA",35998
6037651201,"Seaside, Torrance, CA",35990
6037187300,"Silver Lake, Los Angeles, CA",35947
6059110109,"Cypress, CA",35864
6037650004,"Northwest Torrance, Torrance, CA",35853
6037573700,"Carson Park, Long Beach, CA",35849
6037500300,"Whittier, CA",35848
6037700400,"Central LA, West Hollywood, CA",35760
6037194500,"Central LA, Los Angeles, CA",35697
6037554513,"Cerritos, CA",35677
6037271300,"Mar Vista, Los Angeles, CA",35657
6037530003,"South Montebello, Montebello, CA",35654
6037503602,"La Mirada, CA",35644
6037543603,"Harbor City, West Carson, CA",35633
6037432102,"Temple City, CA",35629
6037650501,"West Torrance, Torrance, CA",35601
6037621104,"Hermosa Beach, CA",35582
6037481401,"San Gabriel, CA",35571
6037481713,"Monterey Park, CA",35570
6037271100,"West Los Angeles, Los Angeles, CA",35530
6037408402,"La Puente, CA",35524
6037555202,"El Dorado, Long Beach, CA",35522
6037620001,"El Segundo, CA",35478
6059110115,"La Palma, CA",35463
6037192300,"Central LA, Los Angeles, CA",35435
6037621102,"Hermosa Beach, CA",35422
6037482202,"Garvey, Monterey Park, CA",35415
6037432201,"Rosemead, CA",35364
6037207501,"Downtown, Los Angeles, CA",35346
6037620501,"North Redondo, Redondo Beach, CA",35335
6037571900,"Bixby Knolls, Long Beach, CA",35301
6037602302,"HollyGlen, Hawthorne, CA",35295
6037650101,"Northeast Torrance, Torrance, CA",35178
6037480704,"South Pasadena, CA",35172
6037650401,"Madrona, Torrance, CA",35161
6037503402,"East Whitter, Whittier, CA",35136
6037216402,"Central LA, Los Angeles, CA",35114
6037501900,"East Whitter, Whittier, CA",35084
6037543503,"Torrance, CA",35075
6037702600,"Culver City, CA",35017
6037573601,"South of Conant, Long Beach, CA",34987
6037261101,"Beverly Hills, CA",34986
6059110113,"Cypress, CA",34981
6037650102,"Northwest Torrance, Torrance, CA",34942
6037481605,"Alhambra, CA",34938
6037620102,"El Segundo, CA",34938
6037504001,"La Mirada, CA",34810
6037701501,"Wilshire Montana, Santa Monica, CA",34801
6037574100,"South of Conant, Long Beach, CA",34797
6037651222,"Southwood Riviera, Torrance, CA",34744
6037274100,"Venice, Marina del Rey, CA",34714
6037620602,"North Redondo, Redondo Beach, CA",34699
6037554406,"Bellflower, CA",34658
6037620002,"El Segundo, CA",34624
6037700200,"Central LA, West Hollywood, CA",34602
6037189902,"Central LA, Los Angeles, CA",34598
6037189905,"Central LA, Los Angeles, CA",34587
6059110301,"Buena Park, CA",34570
6037267404,"Sawtelle, Los Angeles, CA",34523
6037701902,"Downtown, Santa Monica, CA",34522
6037194402,"Beverly Grove, Los Angeles, CA",34502
6037570902,"Lakewood, CA",34471
6037621301,"South Redondo, Redondo Beach, CA",34454
6059110108,"Los Alamitos, CA",34386
6037432101,"El Monte City, Temple City, CA",34382
6059110106,"Cypress, CA",34326
6037702102,"Ocean Park, Santa Monica, CA",34320
6037574300,"Los Altos, Long Beach, CA",34307
6037433101,"El Monte City, El Monte, CA",34307
6037620101,"El Segundo, CA",34301
6037433601,"Garvey, Rosemead, CA",34257
6037214600,"Central LA, Los Angeles, CA",34256
6037481402,"San Gabriel, CA",34234
6037570800,"Lakewood, CA",34231
6037274202,"Venice, Marina del Rey, CA",34225
6037481712,"Garvey, Monterey Park, CA",34197
6037650200,"Northwest Torrance, Torrance, CA",34178
6037503601,"La Mirada, CA",34072
6037701602,"Mid-City, Santa Monica, CA",34027
6059110111,"Cypress, CA",34003
6037551000,"Downey, CA",33988
6037481001,"Alhambra, CA",33960
6037650800,"Park Plaza, Torrance, CA",33947
6037700102,"Central LA, West Hollywood, CA",33894
6037191902,"Central LA, Los Angeles, CA",33888
6037501501,"Whittier, CA",33868
6037702201,"Sunset Park, Santa Monica, CA",33861
6059110304,"Buena Park, CA",33846
6037570003,"Lakewood, CA",33836
6037482101,"Monterey Park, CA",33833
6037570702,"Lakewood Mutual, Lakewood, CA",33829
6037481901,"Alhambra, CA",33760
6037650701,"Southwood, Torrance, CA",33728
6037267800,"West Los Angeles, Los Angeles, CA",33705
6037550800,"Downey, CA",33653
6037571300,"Lakewood, CA",33635
6037195202,"Central LA, Los Angeles, CA",33603
6037211704,"Central LA, Los Angeles, CA",33601
6037216100,"Central LA, Los Angeles, CA",33578
6037482800,"South Montebello, Monterey Park, CA",33570
6037207102,"Central LA, Los Angeles, CA",33561
6037481201,"Temple City, CA",33556
6037482702,"South Montebello, Monterey Park, CA",33541
6037574201,"Stratford Square, Long Beach, CA",33518
6037551402,"Downey, CA",33494
6059110117,"Cypress, CA",33480
6037571200,"Lakewood Village, Long Beach, CA",33420
6037603703,"Hawthorne, CA",33401
6037651102,"Torrance Heights Civic, Torrance, CA",33399
6037621326,"South Redondo, Redondo Beach, CA",33369
6037207103,"Central LA, Los Angeles, CA",33306
6037271902,"Mar Vista, Los Angeles, CA",33290
6037482402,"Garvey, Rosemead, CA",33277
6037480400,"Alhambra, CA",33249
6037432901,"Rosemead, CA",33228
6037572100,"Wrigley, Long Beach, CA",33220
6037265520,"Westwood, Los Angeles, CA",33160
6037554802,"Artesia, CA",33159
6037543604,"Carson, CA",33131
6037481902,"Alhambra, CA",33112
6037431502,"El Monte City, Arcadia, CA",33107
6037480303,"Alhambra, CA",33095
6037481604,"Alhambra, CA",33077
6037271701,"Palms, Los Angeles, CA",33068
6037703002,"Los Angeles, CA",33059
6037480302,"Alhambra, CA",33047
6037197700,"Echo Park, Los Angeles, CA",33042
6037432202,"Rosemead, CA",33030
6037650602,"Torrance, CA",33025
6037550602,"Downey, CA",33017
6037702700,"Park West, Culver City, CA",33010
6037570901,"Lakewood, CA",32992
6037480304,"Alhambra, CA",32978
6037700300,"Central LA, West Hollywood, CA",32948
6037482201,"Monterey Park, CA",32938
6037271702,"Palms, Los Angeles, CA",32925
6037480903,"Alhambra, CA",32924
6037214503,"Central LA, Los Angeles, CA",32921
6037192001,"Central LA, Los Angeles, CA",32873
6037275602,"Westchester, Los Angeles, CA",32868
6037195100,"Silver Lake, Los Angeles, CA",32813
6037432500,"El Monte City, El Monte, CA",32805
6037543701,"Carson, CA",32797
6037481002,"Alhambra, CA",32761
6037192410,"Central LA, Los Angeles, CA",32761
6037482301,"Garvey, San Gabriel, CA",32741
6037621002,"Hermosa Beach, CA",32713
6037194200,"Central LA, Los Angeles, CA",32697
6037481103,"San Gabriel, CA",32673
6037199120,"Montecito Heights, Los Angeles, CA",32654
6037276603,"Playa del Rey, Los Angeles, CA",32649
6037701502,"Downtown, Santa Monica, CA",32644
6037503802,"La Mirada, CA",32638
6037432300,"El Monte City, El Monte, CA",32626
6037571102,"Lakewood, CA",32609
6037620701,"North Redondo, Redondo Beach, CA",32592
6037195600,"Los Angeles, CA",32590
6037650001,"Torrance, CA",32588
6059110114,"Cypress, CA",32574
6037620201,"Manhattan Beach, CA",32516
6037185204,"Northeast Los Angeles, Los Angeles, CA",32498
6037650300,"Northwest Torrance, Torrance, CA",32485
6037572202,"Wrigley, Long Beach, CA",32424
6059110302,"Buena Park, CA",32423
6037267700,"Sawtelle, Los Angeles, CA",32402
6037211420,"Central LA, Los Angeles, CA",32398
6037571101,"Lakewood, CA",32398
6037550700,"Downey, CA",32386
6037197200,"Echo Park, Los Angeles, CA",32383
6037269100,"Pico - Robertson, Los Angeles, CA",32367
6037702202,"Sunset Park, Santa Monica, CA",32364
6037621001,"Hermosa Beach, CA",32350
6037530006,"South Montebello, Montebello, CA",32325
6037702802,"McLaughlin, Los Angeles, CA",32319
6037267402,"West Los Angeles, Los Angeles, CA",32270
6037603301,"Gardena, CA",32248
6037530004,"South Montebello, Montebello, CA",32228
6037187102,"Atwater Village, Los Angeles, CA",32207
6037214800,"Beverly Grove, Los Angeles, CA",32190
6037543903,"Carson, CA",32159
6037603500,"Gardena, CA",32156
6037650604,"Delthorne, Torrance, CA",32138
6037277100,"Westchester, Los Angeles, CA",32128
6037217002,"Central LA, Los Angeles, CA",32115
6037501802,"Whittier, CA",32086
6037480901,"Alhambra, CA",32086
6037570001,"Lakewood, CA",32077
6037650605,"Delthorne, Torrance, CA",32067
6037603702,"Lawndale, CA",32066
6037480803,"Alhambra, CA",32030
6037482701,"South Montebello, Monterey Park, CA",32012
6037551502,"Downey, CA",32009
6059110104,"Cypress, CA",31988
6037502402,"El Rancho, Pico Rivera, CA",31977
6037272100,"Mar Vista, Los Angeles, CA",31964
6037275400,"Los Angeles, CA",31958
6037701402,"Wilshire Montana, Santa Monica, CA",31951
6037503301,"East Whitter, Whittier, CA",31944
6037702502,"Culver City, CA",31928
6037702002,"Ocean Park, Santa Monica, CA",31911
6037571400,"Lakewood Mutual, Lakewood, CA",31880
6037533106,"Huntington Park, CA",31874
6037554900,"Artesia, CA",31859
6037543602,"Torrance, CA",31849
6037217001,"Pico - Robertson, Los Angeles, CA",31844
6037269800,"Castle Heights, Los Angeles, CA",31829
6037502005,"East Whitter, Whittier, CA",31815
6037573800,"Carson Park, Long Beach, CA",31804
6037504002,"La Mirada, CA",31803
6037650902,"Old Town Torrance, Torrance, CA",31801
6037702901,"Marina del Rey, CA",31791
6037195803,"Silver Lake, Los Angeles, CA",31789
6037503201,"East Whitter, Whittier, CA",31788
6037267502,"West Los Angeles, Los Angeles, CA",31781
6037214902,"Central LA, Los Angeles, CA",31709
6037702801,"Clarkdale, Culver City, CA",31691
6037571000,"Lakewood, CA",31682
6037555103,"Lakewood, CA",31654
6037201601,"Northeast Los Angeles, Los Angeles, CA",31603
6037273100,"Venice, Los Angeles, CA",31581
6037533203,"Huntington Park, CA",31579
6037480802,"Alhambra, CA",31568
6037603600,"Gardena, CA",31547
6037481102,"San Gabriel, CA",31546
6037432401,"El Monte City, El Monte, CA",31524
6037554600,"Norwalk, CA",31524
6037192002,"Central LA, Los Angeles, CA",31520
6037503901,"La Mirada, CA",31511
6037482304,"Garvey, Rosemead, CA",31493
6059110203,"Buena Park, CA",31485
6037621400,"South Redondo, Redondo Beach, CA",31474
6037543801,"Carson, CA",31446
6037431501,"El Monte City, Temple City, CA",31435
6037502401,"El Rancho, Pico Rivera, CA",31433
6037502602,"El Rancho, Pico Rivera, CA",31417
6037267600,"Sawtelle, Los Angeles, CA",31395
6037482303,"Garvey, Rosemead, CA",31388
6037195300,"Central LA, Los Angeles, CA",31341
6037482503,"Garvey, Rosemead, CA",31331
6037551201,"Downey, CA",31316
6037211703,"Central LA, Los Angeles, CA",31297
6037551800,"Downey, CA",31296
6037408302,"Whittier, CA",31295
6037501300,"Whittier, CA",31293
6037601301,"Inglewood, CA",31258
6037572201,"Wrigley, Long Beach, CA",31213
6037275603,"Culver City, CA",31200
6037572001,"Bixby Knolls, Long Beach, CA",31197
6037530102,"South Montebello, Montebello, CA",31193
6037434004,"El Monte, CA",31166
6037603101,"Gardena, CA",31148
6037199800,"Northeast Los Angeles, Los Angeles, CA",31123
6037570701,"Lakewood Mutual, Lakewood, CA",31108
6037543601,"Carson, CA",31104
6037621201,"South Redondo, Redondo Beach, CA",31092
6059110303,"Buena Park, CA",31081
6037502901,"East Whitter, Whittier, CA",31079
6037432602,"El Monte City, El Monte, CA",31045
6037551700,"Downey, CA",31035
6037620521,"North Redondo, Redondo Beach, CA",30962
6037480804,"Alhambra, CA",30940
6037265305,"Westwood, Los Angeles, CA",30929
6037571503,"Bixby North, Long Beach, CA",30909
6037650901,"Old Town Torrance, Torrance, CA",30908
6037551501,"Downey, CA",30862
6037216800,"Central LA, Los Angeles, CA",30846
6037213100,"Central LA, Los Angeles, CA",30846
6037502601,"El Rancho, Pico Rivera, CA",30838
6037212702,"Central LA, Los Angeles, CA",30802
6037293201,"Harbor, Torrance, CA",30801
6037199300,"Montecito Heights, Los Angeles, CA",30798
6037212701,"Central LA, Los Angeles, CA",30796
6037550400,"Downey, CA",30792
6037212306,"Central LA, Los Angeles, CA",30790
6037189800,"Central LA, Los Angeles, CA",30789
6037211803,"Central LA, Los Angeles, CA",30788
6037534501,"Huntington Park, CA",30784
6037212610,"Central LA, Los Angeles, CA",30784
6037554201,"Bellflower, CA",30783
6037570002,"Lakewood, CA",30763
6037275101,"Culver City, CA",30730
6037183702,"Northeast Los Angeles, Los Angeles, CA",30729
6037195902,"Silver Lake, Los Angeles, CA",30727
6037201503,"Northeast Los Angeles, Los Angeles, CA",30718
6037212420,"Central LA, Los Angeles, CA",30705
6037502801,"Santa Fe Springs, CA",30686
6037219500,"South Los Angeles, Los Angeles, CA",30678
6037603302,"Gardena, CA",30677
6037572600,"West Side, Long Beach, CA",30661
6037552602,"Norwalk, CA",30631
6037543501,"Carson, CA",30622
6037574000,"Plaza, Long Beach, CA",30621
6037195500,"Silver Lake, Los Angeles, CA",30617
6037620702,"North Redondo, Redondo Beach, CA",30604
6037570100,"Ramona Park, Long Beach, CA",30603
6037270200,"Palms, Los Angeles, CA",30577
6037480902,"Alhambra, CA",30574
6037201402,"Northeast Los Angeles, Los Angeles, CA",30562
6037702501,"Carlson Park, Culver City, CA",30561
6059110201,"Buena Park, CA",30545
6037206050,"Central LA, Los Angeles, CA",30538
6037550902,"Downey, CA",30508
6037502200,"Whittier, CA",30505
6037551401,"Downey, CA",30498
6037701100,"West Los Angeles, Los Angeles, CA",30482
6037481202,"San Gabriel, CA",30476
6037273800,"Venice, Los Angeles, CA",30418
6037482521,"South Montebello, Rosemead, CA",30412
6037192510,"Central LA, Los Angeles, CA",30401
6037543502,"Torrance, CA",30373
6037201302,"Northeast Los Angeles, Los Angeles, CA",30358
6037212800,"Central LA, Los Angeles, CA",30353
6037433307,"El Monte, CA",30335
6037620522,"North Redondo, Redondo Beach, CA",30334
6037273902,"Venice, Los Angeles, CA",30328
6037555104,"Lakewood, CA",30287
6037536102,"South Gate, CA",30285
