"tract","Name","Number_of_Children_rP_gP_pall"
6037572001,"Bixby Knolls, Long Beach, CA",1160
6037600911,"Inglewood, CA",1160
6037571400,"Lakewood Mutual, Lakewood, CA",1160
6037201503,"Northeast Los Angeles, Los Angeles, CA",1158
6037191420,"Central LA, Los Angeles, CA",1158
6037237201,"South Los Angeles, Los Angeles, CA",1158
6037199300,"Montecito Heights, Los Angeles, CA",1157
6037602002,"Hawthorne, CA",1156
6037603702,"Lawndale, CA",1156
6037620701,"North Redondo, Redondo Beach, CA",1154
6037204910,"Boyle Heights, Los Angeles, CA",1153
6037208610,"Central LA, Los Angeles, CA",1152
6037650101,"Northeast Torrance, Torrance, CA",1151
6037211703,"Central LA, Los Angeles, CA",1150
6037210010,"Central LA, Los Angeles, CA",1150
6037503601,"La Mirada, CA",1147
6037239320,"South Los Angeles, Los Angeles, CA",1145
6037650800,"Park Plaza, Torrance, CA",1144
6037541100,"Compton, CA",1144
6037204200,"Boyle Heights, Los Angeles, CA",1142
6037503105,"Whittier, CA",1141
6037571504,"Bixby Knolls, Long Beach, CA",1140
6037603400,"Gardena, CA",1139
6037291220,"Harbor, Gardena, CA",1139
6037432901,"Rosemead, CA",1137
6037211120,"Central LA, Los Angeles, CA",1136
6037208401,"Central LA, Los Angeles, CA",1136
6037185310,"Northeast Los Angeles, Los Angeles, CA",1134
6037482401,"Garvey, Rosemead, CA",1132
6037239501,"South Los Angeles, Los Angeles, CA",1132
6037531503,"East Los Angeles, CA",1131
6037532604,"Huntington Park, CA",1131
6037543502,"Torrance, CA",1126
6037201402,"Northeast Los Angeles, Los Angeles, CA",1122
6037542402,"Compton, CA",1118
6037503502,"East Whitter, Whittier, CA",1115
6037432401,"El Monte City, El Monte, CA",1115
6059110109,"Cypress, CA",1114
6037269601,"Central LA, Los Angeles, CA",1112
6037534403,"Cudahy, CA",1112
6037270200,"Palms, Los Angeles, CA",1112
6037276000,"Westchester, Los Angeles, CA",1109
6037702300,"Sunset Park, Santa Monica, CA",1108
6037552302,"Norwalk, CA",1108
6037554514,"Cerritos, CA",1107
6037503201,"East Whitter, Whittier, CA",1107
6037239502,"South Los Angeles, Los Angeles, CA",1106
6037702400,"Lucerne - Higuera, Culver City, CA",1105
6037199202,"Montecito Heights, Los Angeles, CA",1104
6037212420,"Central LA, Los Angeles, CA",1103
6037241110,"South Los Angeles, Los Angeles, CA",1102
6037211420,"Central LA, Los Angeles, CA",1102
6037234901,"Park Mesa Heights, Los Angeles, CA",1097
6037502302,"Whittier, CA",1097
6037543601,"Carson, CA",1096
6037191720,"Central LA, Los Angeles, CA",1095
6037238400,"South Los Angeles, Los Angeles, CA",1095
6037211500,"Central LA, Los Angeles, CA",1094
6037573800,"Carson Park, Long Beach, CA",1094
6037532700,"South Los Angeles, Los Angeles, CA",1092
6037208903,"Central LA, Los Angeles, CA",1092
6037221304,"Central LA, Los Angeles, CA",1092
6037620303,"Manhattan Beach, CA",1091
6037530204,"South Montebello, Montebello, CA",1090
6037192510,"Central LA, Los Angeles, CA",1089
6037541603,"Compton, CA",1082
6037203500,"Boyle Heights, Los Angeles, CA",1082
6037224320,"Central LA, Los Angeles, CA",1081
6037554516,"Cerritos, CA",1081
6037573700,"Carson Park, Long Beach, CA",1077
6037203300,"Northeast Los Angeles, Los Angeles, CA",1076
6037432300,"El Monte City, El Monte, CA",1076
6037208904,"Central LA, Los Angeles, CA",1075
6037543903,"Carson, CA",1074
6037550602,"Downey, CA",1073
6037554203,"Bellflower, CA",1073
6037291130,"Harbor, Gardena, CA",1069
6037208720,"Central LA, Los Angeles, CA",1066
6037555002,"Lakewood, CA",1066
6037533105,"Huntington Park, CA",1065
6037269500,"Beverlywood, Los Angeles, CA",1063
6037237500,"South Figueroa Corridor, Los Angeles, CA",1062
6037703100,"View Park, View Park-Windsor Hills, CA",1062
6037208502,"Central LA, Los Angeles, CA",1062
6037408303,"Whittier, CA",1061
6037530202,"South Montebello, Montebello, CA",1061
6037533002,"South Los Angeles, Los Angeles, CA",1059
6037269602,"Central LA, Los Angeles, CA",1059
6037434004,"El Monte, CA",1058
6037553503,"Paramount, CA",1054
6037219300,"Jefferson, Los Angeles, CA",1053
6037432202,"Rosemead, CA",1053
6037221220,"Central LA, Los Angeles, CA",1053
6037554600,"Norwalk, CA",1053
6037211000,"Central LA, Los Angeles, CA",1051
6037600302,"South Los Angeles, Los Angeles, CA",1051
6037236203,"Crenshaw, Los Angeles, CA",1048
6037221500,"South Los Angeles, Los Angeles, CA",1046
6037571300,"Lakewood, CA",1045
6037503402,"East Whitter, Whittier, CA",1045
6037192420,"Central LA, Los Angeles, CA",1043
6037212410,"Central LA, Los Angeles, CA",1042
6037185202,"Mount Washington, Los Angeles, CA",1040
6037541606,"Compton, CA",1040
6037532102,"South Montebello, Montebello, CA",1036
6037199700,"Central LA, Los Angeles, CA",1031
6037271802,"Palms, Los Angeles, CA",1029
6037212610,"Central LA, Los Angeles, CA",1029
6037213310,"Central LA, Los Angeles, CA",1028
6037232200,"South Los Angeles, Los Angeles, CA",1028
6037482701,"South Montebello, Monterey Park, CA",1027
6037197200,"Echo Park, Los Angeles, CA",1027
6037500202,"East Whitter, Whittier, CA",1026
6037232110,"South Figueroa Corridor, Los Angeles, CA",1025
6037480902,"Alhambra, CA",1021
6037650604,"Delthorne, Torrance, CA",1021
6037433700,"South El Monte, CA",1020
6037544002,"Long Beach, CA",1018
6037620601,"North Redondo, Redondo Beach, CA",1018
6037408302,"Whittier, CA",1018
6037204110,"Boyle Heights, Los Angeles, CA",1015
6037277000,"Westchester, Los Angeles, CA",1014
6037603102,"Gardena, CA",1014
6037530203,"South Montebello, Montebello, CA",1013
6037482502,"Garvey, Rosemead, CA",1011
6037650401,"Madrona, Torrance, CA",1009
6037291110,"Harbor, Los Angeles, CA",1008
6037533202,"Huntington Park, CA",1008
6037239330,"South Los Angeles, Los Angeles, CA",1006
6037237900,"South Los Angeles, Los Angeles, CA",1005
6037532002,"South Montebello, Montebello, CA",1002
6037234800,"Park Mesa Heights, Los Angeles, CA",1002
6037701000,"Beverly Hills, CA",1002
6037231100,"South Los Angeles, Los Angeles, CA",1000
6037224020,"South Los Angeles, Los Angeles, CA",1000
6037213201,"Central LA, Los Angeles, CA",998
6037211320,"Central LA, Los Angeles, CA",996
6037650004,"Northwest Torrance, Torrance, CA",995
6037275200,"Los Angeles, CA",994
6037542800,"Compton, CA",994
6037531102,"Los Angeles, CA",993
6037620001,"El Segundo, CA",993
6037221602,"Central LA, Los Angeles, CA",991
6037503301,"East Whitter, Whittier, CA",989
6037209104,"Central LA, Los Angeles, CA",986
6037236204,"Baldwin Village, Los Angeles, CA",983
6037550901,"Downey, CA",980
6037203900,"Boyle Heights, Los Angeles, CA",977
6037501001,"Whittier, CA",976
6037432201,"Rosemead, CA",975
6037273200,"Venice, Los Angeles, CA",975
6037212204,"Central LA, Los Angeles, CA",973
6037218110,"Central LA, Los Angeles, CA",972
6037212305,"Central LA, Los Angeles, CA",970
6037216900,"Central LA, Los Angeles, CA",968
6037503602,"La Mirada, CA",967
6037222001,"Jefferson, Los Angeles, CA",967
6037217002,"Central LA, Los Angeles, CA",967
6037650502,"West Torrance, Torrance, CA",966
6037535503,"South Gate, CA",966
6037269700,"Beverlywood, Los Angeles, CA",965
6037185320,"Northeast Los Angeles, Los Angeles, CA",962
6037212306,"Central LA, Los Angeles, CA",961
6037651002,"Southeast Torrance, Torrance, CA",960
6037482101,"Monterey Park, CA",960
6037571102,"Lakewood, CA",959
6037532001,"South Montebello, Montebello, CA",957
6037603101,"Gardena, CA",957
6037534802,"Huntington Park, CA",953
6037552400,"Norwalk, CA",953
6037482522,"South Montebello, Montebello, CA",952
6037234300,"Leimert Park, Los Angeles, CA",952
6037702501,"Carlson Park, Culver City, CA",951
6037195500,"Silver Lake, Los Angeles, CA",951
6037212502,"Central LA, Los Angeles, CA",950
6037273300,"Venice, Los Angeles, CA",950
6037277200,"Westchester, Los Angeles, CA",949
6037700901,"Central LA, Beverly Hills, CA",948
6037221210,"Central LA, Los Angeles, CA",945
6037550201,"Norwalk, CA",945
6037571600,"Carmelitos, Long Beach, CA",942
6037209402,"Central LA, Los Angeles, CA",941
6037217200,"Central LA, Los Angeles, CA",940
6037540201,"South Gate, CA",935
6037482800,"South Montebello, Monterey Park, CA",935
6037530006,"South Montebello, Montebello, CA",934
6037236400,"Baldwin Hills, Los Angeles, CA",934
6037481604,"Alhambra, CA",933
6037543701,"Carson, CA",933
6037620521,"North Redondo, Redondo Beach, CA",932
6037209403,"Central LA, Los Angeles, CA",929
6037269000,"Cheviot Hills, Los Angeles, CA",926
6037502003,"East Whitter, Whittier, CA",924
6037218500,"Central LA, Los Angeles, CA",924
6037650603,"Torrance, CA",924
6037503104,"Whittier, CA",923
6037224410,"South Los Angeles, Los Angeles, CA",923
6037481603,"Alhambra, CA",922
6037541002,"Carson, CA",921
6037208710,"Central LA, Los Angeles, CA",921
6037204410,"Central LA, Los Angeles, CA",921
6037199110,"Montecito Heights, Los Angeles, CA",917
6037204120,"Central LA, Los Angeles, CA",916
6037191710,"Central LA, Los Angeles, CA",915
6037534101,"South Montebello, Bell Gardens, CA",912
6037221710,"Jefferson, Los Angeles, CA",908
6037191820,"Central LA, Los Angeles, CA",908
6037195600,"Los Angeles, CA",907
6059110118,"Cypress, CA",902
6037241201,"South Los Angeles, Los Angeles, CA",901
6037209820,"Central LA, Los Angeles, CA",901
6037530004,"South Montebello, Montebello, CA",900
6037501504,"Whittier, CA",899
6037211202,"Central LA, Los Angeles, CA",898
6037211201,"Central LA, Los Angeles, CA",898
6037571503,"Bixby North, Long Beach, CA",897
6037211802,"Central LA, Los Angeles, CA",896
6037275311,"Los Angeles, CA",894
6037551201,"Downey, CA",892
6037211922,"Central LA, Los Angeles, CA",885
6037540400,"South Los Angeles, Los Angeles, CA",884
6037481001,"Alhambra, CA",883
6037204920,"Boyle Heights, Los Angeles, CA",882
6037481711,"Monterey Park, CA",880
6037218800,"Central LA, Los Angeles, CA",880
6037553300,"Bellflower, CA",879
6037197410,"Echo Park, Los Angeles, CA",878
6037620522,"North Redondo, Redondo Beach, CA",877
6037600702,"Morningside Park, Inglewood, CA",876
6037621400,"South Redondo, Redondo Beach, CA",876
6037701802,"Pico, Santa Monica, CA",875
6037603600,"Gardena, CA",874
6037555202,"El Dorado, Long Beach, CA",869
6037533203,"Huntington Park, CA",869
6037201200,"Northeast Los Angeles, Los Angeles, CA",869
6037501700,"East Whitter, Whittier, CA",868
6037212303,"Central LA, Los Angeles, CA",868
6037480803,"Alhambra, CA",865
6037187102,"Atwater Village, Los Angeles, CA",865
6037208402,"Central LA, Los Angeles, CA",859
6037481201,"Temple City, CA",859
6037276400,"Westchester, Los Angeles, CA",858
6037533503,"Huntington Park, CA",855
6037601211,"Inglewood, CA",854
6037209300,"Central LA, Los Angeles, CA",853
6037272302,"Mar Vista, Los Angeles, CA",851
6037481500,"Alhambra, CA",851
6037602700,"Hawthorne, CA",849
6037570902,"Lakewood, CA",848
6037533502,"Huntington Park, CA",845
6037433802,"South El Monte, CA",841
6037432902,"Rosemead, CA",840
6037276100,"Los Angeles, CA",840
6037221303,"Central LA, Los Angeles, CA",839
6037501802,"Whittier, CA",839
6037206032,"Central LA, Los Angeles, CA",838
6037701601,"Northeast, Santa Monica, CA",837
6037211410,"Central LA, Los Angeles, CA",836
6037543321,"Carson, CA",834
6037700801,"Beverly Hills, CA",834
6037209520,"Central LA, Los Angeles, CA",833
6037241300,"Harbor Gateway North, Los Angeles, CA",832
6037195802,"Central LA, Los Angeles, CA",832
6037500500,"El Rancho, Pico Rivera, CA",832
6037480802,"Alhambra, CA",831
6037261200,"Beverly Glen, Los Angeles, CA",830
6037209510,"Central LA, Los Angeles, CA",829
6037201602,"Northeast Los Angeles, Los Angeles, CA",828
6037650501,"West Torrance, Torrance, CA",827
6037501804,"Whittier, CA",824
6037554104,"Bellflower, CA",823
6037199900,"Montecito Heights, Los Angeles, CA",822
6037481902,"Alhambra, CA",821
6037433501,"El Monte City, South El Monte, CA",818
6037554519,"Cerritos, CA",818
6037271600,"Mar Vista, Los Angeles, CA",818
6037572002,"Bixby Knolls, Long Beach, CA",817
6037272100,"Mar Vista, Los Angeles, CA",817
6037197600,"Echo Park, Los Angeles, CA",816
6037271702,"Palms, Los Angeles, CA",815
6037271701,"Palms, Los Angeles, CA",813
6037481605,"Alhambra, CA",813
6037554405,"Bellflower, CA",812
6037216700,"Central LA, Los Angeles, CA",811
6037291120,"Harbor, Gardena, CA",810
6037201504,"Northeast Los Angeles, Los Angeles, CA",810
6037195720,"Echo Park, Los Angeles, CA",810
6037221401,"Jefferson, Los Angeles, CA",809
6037482201,"Monterey Park, CA",809
6037234501,"South Los Angeles, Los Angeles, CA",806
6037224200,"Central LA, Los Angeles, CA",805
6037554515,"Cerritos, CA",805
6037262200,"Bel Air, Los Angeles, CA",804
6037269300,"Cheviot Hills, Los Angeles, CA",802
6037219010,"South Los Angeles, Los Angeles, CA",799
6037201110,"Northeast Los Angeles, Los Angeles, CA",798
6037234502,"South Los Angeles, Los Angeles, CA",797
6037603301,"Gardena, CA",789
6037208501,"Central LA, Los Angeles, CA",789
6037271902,"Mar Vista, Los Angeles, CA",788
6059110115,"La Palma, CA",788
6037211803,"Central LA, Los Angeles, CA",788
6037504001,"La Mirada, CA",785
6037433602,"Garvey, Rosemead, CA",785
6037650003,"Northwest Torrance, Torrance, CA",785
6037535606,"South Gate, CA",785
6037603500,"Gardena, CA",780
6037208801,"Central LA, Los Angeles, CA",779
6037600801,"Morningside Park, Inglewood, CA",779
6037530005,"South Montebello, Montebello, CA",778
6037700700,"The Flats, Beverly Hills, CA",778
6037262802,"Pacific Palisades, Santa Monica, CA",774
6037603302,"Gardena, CA",774
6037269100,"Pico - Robertson, Los Angeles, CA",773
6037211122,"Central LA, Los Angeles, CA",770
6037235201,"Park Mesa Heights, Los Angeles, CA",766
6037536102,"South Gate, CA",763
6037214100,"Central LA, Los Angeles, CA",762
6037277100,"Westchester, Los Angeles, CA",762
6037209810,"Central LA, Los Angeles, CA",761
6037620305,"Manhattan Beach, CA",760
6037212702,"Central LA, Los Angeles, CA",759
6037480903,"Alhambra, CA",759
6037208802,"Central LA, Los Angeles, CA",756
6037192410,"Central LA, Los Angeles, CA",754
6037703001,"Fox Hills, Culver City, CA",753
6037433101,"El Monte City, El Monte, CA",753
6037224310,"Central LA, Los Angeles, CA",749
6037267501,"West Los Angeles, Los Angeles, CA",748
6037221402,"Central LA, Los Angeles, CA",747
6037212501,"Central LA, Los Angeles, CA",743
6037503901,"La Mirada, CA",743
6037530700,"Los Angeles, CA",741
6037262400,"Brentwood, Los Angeles, CA",739
6037702502,"Culver City, CA",737
6037702700,"Park West, Culver City, CA",737
6037212203,"Central LA, Los Angeles, CA",735
6037702803,"Los Angeles, CA",732
6037195400,"Silver Lake, Los Angeles, CA",727
6037211704,"Central LA, Los Angeles, CA",726
6037221810,"South Los Angeles, Los Angeles, CA",726
6037570100,"Ramona Park, Long Beach, CA",725
6037236000,"Baldwin Hills, Los Angeles, CA",725
6037481300,"Rosemead, CA",721
6037211804,"Central LA, Los Angeles, CA",719
6037702202,"Sunset Park, Santa Monica, CA",718
6037195804,"Silver Lake, Los Angeles, CA",716
6037432801,"El Monte City, El Monte, CA",715
6037218600,"Central LA, Los Angeles, CA",714
6037620002,"El Segundo, CA",712
6037218701,"Central LA, Los Angeles, CA",711
6037600601,"Inglewood, CA",706
6037195803,"Silver Lake, Los Angeles, CA",705
6037267100,"West Los Angeles, Los Angeles, CA",704
6037600501,"Inglewood, CA",701
6037262303,"Brentwood, Los Angeles, CA",700
6037600502,"Inglewood, CA",691
6037600802,"Morningside Park, Inglewood, CA",691
6037272202,"Mar Vista, Los Angeles, CA",689
6037208902,"Central LA, Los Angeles, CA",687
6037262100,"Bel Air, Los Angeles, CA",683
6037204820,"Boyle Heights, Los Angeles, CA",683
6037264000,"Brentwood, Los Angeles, CA",683
6037603703,"Hawthorne, CA",683
6037600704,"Morningside Park, Inglewood, CA",682
6037216200,"Central LA, Los Angeles, CA",680
6037570002,"Lakewood, CA",677
6037530301,"East Los Angeles, CA",677
6037702201,"Sunset Park, Santa Monica, CA",676
6037216300,"Central LA, Los Angeles, CA",673
6037620102,"El Segundo, CA",668
6037201601,"Northeast Los Angeles, Los Angeles, CA",667
6037273100,"Venice, Los Angeles, CA",667
6037602302,"HollyGlen, Hawthorne, CA",665
6037213320,"Central LA, Los Angeles, CA",662
6037191620,"Central LA, Los Angeles, CA",659
6037603006,"Gardena, CA",658
6037271300,"Mar Vista, Los Angeles, CA",655
6037533106,"Huntington Park, CA",650
6037700802,"Beverly Hills, CA",650
6037218702,"Jefferson, Los Angeles, CA",647
6037211921,"Central LA, Los Angeles, CA",646
6037211701,"Central LA, Los Angeles, CA",642
6037571800,"Bixby Knolls, Long Beach, CA",641
6037651221,"Southwood Riviera, Torrance, CA",638
6037271801,"Palms, Los Angeles, CA",634
6037224420,"South Los Angeles, Los Angeles, CA",634
6037500300,"Whittier, CA",634
6037269800,"Castle Heights, Los Angeles, CA",633
6037226001,"South Los Angeles, Los Angeles, CA",633
6037650102,"Northwest Torrance, Torrance, CA",632
6037267200,"West Los Angeles, Los Angeles, CA",631
6037224010,"Central LA, Los Angeles, CA",630
6037621001,"Hermosa Beach, CA",629
6037270300,"Central LA, Los Angeles, CA",627
6037620901,"Manhattan Beach, CA",620
6037206300,"Central LA, Los Angeles, CA",619
6037570702,"Lakewood Mutual, Lakewood, CA",615
6037276601,"Playa del Rey, Los Angeles, CA",613
6037208301,"Central LA, Los Angeles, CA",605
6037212304,"Central LA, Los Angeles, CA",598
6037271400,"Mar Vista, Los Angeles, CA",597
6037271901,"Mar Vista, Los Angeles, CA",597
6037482102,"Monterey Park, CA",597
6037270100,"Palms, Los Angeles, CA",595
6037213100,"Central LA, Los Angeles, CA",591
6037211121,"Central LA, Los Angeles, CA",588
6037272301,"Mar Vista, Los Angeles, CA",587
6037269904,"Palms, Los Angeles, CA",585
6037220100,"South Los Angeles, Los Angeles, CA",581
6037481713,"Monterey Park, CA",579
6037214502,"Central LA, Los Angeles, CA",579
6037216401,"Central LA, Los Angeles, CA",571
6037702102,"Ocean Park, Santa Monica, CA",570
6037216800,"Central LA, Los Angeles, CA",569
6037650701,"Southwood, Torrance, CA",564
6037221900,"South Los Angeles, Los Angeles, CA",563
6037554513,"Cerritos, CA",559
6037621004,"Hermosa Beach, CA",554
6037265700,"Westwood, Los Angeles, CA",553
6037530003,"South Montebello, Montebello, CA",553
6037291300,"Harbor, Gardena, CA",547
6037191901,"Central LA, Los Angeles, CA",544
6037195901,"Silver Lake, Los Angeles, CA",542
6037482702,"South Montebello, Monterey Park, CA",540
6037701501,"Wilshire Montana, Santa Monica, CA",538
6037195903,"Silver Lake, Los Angeles, CA",537
6037264302,"Brentwood, Los Angeles, CA",531
6037206031,"Arts District, Los Angeles, CA",528
6037269903,"Palms, Los Angeles, CA",525
6037702901,"Marina del Rey, CA",522
6037650605,"Delthorne, Torrance, CA",522
6037481800,"Alhambra, CA",515
6037482001,"Monterey Park, CA",511
6037262302,"Brentwood, Los Angeles, CA",511
6037278001,"Westchester, Los Angeles, CA",509
6037212701,"Central LA, Los Angeles, CA",508
6037620904,"Manhattan Beach, CA",506
6037217001,"Pico - Robertson, Los Angeles, CA",503
6037651102,"Torrance Heights Civic, Torrance, CA",501
6037554103,"Bellflower, CA",498
6037702802,"McLaughlin, Los Angeles, CA",494
6037226002,"Central LA, Los Angeles, CA",491
6037272201,"Mar Vista, Los Angeles, CA",491
6037621102,"Hermosa Beach, CA",489
6037433302,"El Monte, CA",488
6037702002,"Ocean Park, Santa Monica, CA",486
6037701402,"Wilshire Montana, Santa Monica, CA",482
6037543305,"Los Angeles County, CA",479
6037267800,"West Los Angeles, Los Angeles, CA",479
6037212101,"Central LA, Los Angeles, CA",473
6037530602,"Los Angeles, CA",473
6037191902,"Central LA, Los Angeles, CA",465
6037601301,"Inglewood, CA",465
6037481714,"Monterey Park, CA",464
6037273700,"Venice, Los Angeles, CA",462
6037195902,"Silver Lake, Los Angeles, CA",462
6037212102,"Central LA, Los Angeles, CA",461
6037271500,"Mar Vista, Los Angeles, CA",450
6037275602,"Westchester, Los Angeles, CA",450
6037701701,"Mid-City, Santa Monica, CA",445
6037276603,"Playa del Rey, Los Angeles, CA",444
6037501501,"Whittier, CA",439
6037269906,"Palms, Los Angeles, CA",437
6037621104,"Hermosa Beach, CA",436
6037271100,"West Los Angeles, Los Angeles, CA",433
6037267502,"West Los Angeles, Los Angeles, CA",430
6037700102,"Central LA, West Hollywood, CA",428
6037550400,"Downey, CA",424
6037221820,"Jefferson, Los Angeles, CA",423
6037269907,"Palms, Los Angeles, CA",419
6037265100,"Westwood, Los Angeles, CA",419
6037701202,"Wilshire Montana, Santa Monica, CA",414
6037234200,"Leimert Park, Los Angeles, CA",414
6037603200,"Gardena, CA",414
6037267600,"Sawtelle, Los Angeles, CA",412
6037275302,"Marina del Rey, CA",407
6037265520,"Westwood, Los Angeles, CA",405
6037207101,"Central LA, Los Angeles, CA",404
6037502802,"Santa Fe Springs, CA",402
6037216100,"Central LA, Los Angeles, CA",401
6037601001,"Inglewood, CA",399
6037209200,"Central LA, Los Angeles, CA",399
6037273902,"Venice, Los Angeles, CA",394
6037267402,"West Los Angeles, Los Angeles, CA",393
6037273800,"Venice, Los Angeles, CA",392
6037701502,"Downtown, Santa Monica, CA",385
6037271200,"Sawtelle, Los Angeles, CA",382
6037701702,"Downtown, Santa Monica, CA",380
6037273600,"Venice, Los Angeles, CA",379
6037701302,"Wilshire Montana, Santa Monica, CA",378
6037265602,"Westwood, Los Angeles, CA",374
6037269905,"Palms, Los Angeles, CA",368
6037267700,"Sawtelle, Los Angeles, CA",361
6037216402,"Central LA, Los Angeles, CA",357
6037267902,"Rancho Park, Los Angeles, CA",357
6037265601,"Westwood, Los Angeles, CA",356
6037701602,"Mid-City, Santa Monica, CA",355
6037267300,"West Los Angeles, Los Angeles, CA",354
6037541001,"Gardena, CA",351
6037262301,"Los Angeles, CA",351
6037275400,"Los Angeles, CA",350
6037214503,"Central LA, Los Angeles, CA",348
6037192002,"Central LA, Los Angeles, CA",342
6037265420,"Westwood, Los Angeles, CA",342
6037207102,"Central LA, Los Angeles, CA",338
6037276604,"Playa del Rey, Los Angeles, CA",336
6037700400,"Central LA, West Hollywood, CA",336
6037207900,"Central LA, Los Angeles, CA",334
6037206050,"Central LA, Los Angeles, CA",333
6037275101,"Culver City, CA",330
6037572400,"Upper Westside, Long Beach, CA",327
6037274202,"Venice, Marina del Rey, CA",322
6037572100,"Wrigley, Long Beach, CA",312
6037192001,"Central LA, Los Angeles, CA",309
6037621324,"South Redondo, Redondo Beach, CA",308
6037214501,"Central LA, Los Angeles, CA",307
6037603004,"Gardena, CA",306
6037276500,"Westchester, Los Angeles, CA",305
6037206200,"Central LA, Los Angeles, CA",302
6037278102,"Playa del Rey, Los Angeles, CA",301
6037600703,"Morningside Park, Inglewood, CA",295
6037219500,"South Los Angeles, Los Angeles, CA",289
6037700200,"Central LA, West Hollywood, CA",289
6037214700,"Beverly Grove, Los Angeles, CA",279
6037621326,"South Redondo, Redondo Beach, CA",278
6037207103,"Central LA, Los Angeles, CA",275
6037265201,"Westwood, Los Angeles, CA",262
6037267901,"Century City, Los Angeles, CA",258
6037274100,"Venice, Marina del Rey, CA",250
6037192300,"Central LA, Los Angeles, CA",250
6037265202,"Westwood, Los Angeles, CA",247
6037621204,"South Redondo, Redondo Beach, CA",238
6037265410,"Los Angeles, CA",237
6037194402,"Beverly Grove, Los Angeles, CA",234
6037214901,"Beverly Grove, West Hollywood, CA",229
6037207710,"Central LA, Los Angeles, CA",228
6037214600,"Central LA, Los Angeles, CA",222
6037194500,"Central LA, Los Angeles, CA",220
6037264301,"Brentwood, Los Angeles, CA",219
6037214800,"Beverly Grove, Los Angeles, CA",215
6037215102,"Central LA, Los Angeles, CA",207
6037264102,"Brentwood, Los Angeles, CA",200
6037265510,"Westwood, Los Angeles, CA",199
6037701902,"Downtown, Santa Monica, CA",194
6037214902,"Central LA, Los Angeles, CA",193
6037267403,"West Los Angeles, Los Angeles, CA",189
6037275603,"Culver City, CA",188
6037273502,"Venice, Los Angeles, CA",179
6037224700,"South Los Angeles, Los Angeles, CA",177
6037700300,"Central LA, West Hollywood, CA",176
6037267404,"Sawtelle, Los Angeles, CA",176
6037194401,"Beverly Grove, Los Angeles, CA",173
6037273402,"Venice, Los Angeles, CA",167
6037215101,"Central LA, Los Angeles, CA",165
6037264103,"Brentwood, Los Angeles, CA",162
6037550000,"Norwalk, CA",156
6037214400,"Central LA, Los Angeles, CA",145
6037700502,"Central LA, West Hollywood, CA",136
6037621002,"Hermosa Beach, CA",127
6037700501,"Central LA, West Hollywood, CA",119
6037265305,"Westwood, Los Angeles, CA",102
6037701100,"West Los Angeles, Los Angeles, CA",92
6037980014,"Los Angeles County, CA",87
6037207301,"Central LA, Los Angeles, CA",72
6037265303,"Westwood, Los Angeles, CA",63
6037207302,"Central LA, Los Angeles, CA",60
6037620201,"Manhattan Beach, CA",59
6037207502,"Downtown, Los Angeles, CA",58
6037980010,"Echo Park, Los Angeles, CA",56
6037207501,"Downtown, Los Angeles, CA",50
6037532400,"Vernon, CA",34
6037980030,"El Segundo, CA",
6037980006,"Long Beach, CA",
6037980005,"Torrance, CA",
6037265301,"Westwood, Los Angeles, CA",
6037980018,"Long Beach, CA",
6037980025,"Carson, CA",
6037980002,"Carson, CA",
6037980013,"El Segundo, CA",
6037207400,"Central LA, Los Angeles, CA",
6037551600,"Downey, CA",
6037206020,"Central LA, Los Angeles, CA",
6037980028,"Los Angeles, CA",
6037504102,"Norwalk, CA",
6037265304,"Westwood, Los Angeles, CA",
6037222700,"South Los Angeles, Los Angeles, CA",